Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,100.0000014901,-20196608818419.71
_,_,_,100.0000014901,-4597976742864.826
_,_,_,100.0000014901,37221767195692.555
_,_,_,100.0000014901,17608794666402.52
_,_,_,100.0000014901,13899105599868.443
_,_,_,100.0000014901,28628507716827.02
_,_,_,100.0000014901,-9157297745324.74
_,_,_,100.0000014901,1675095919532.4167
_,_,_,100.0000014901,8489197385409.066
_,_,_,100.0000014901,-4079262944503.275
_,_,_,98.7576142035,44192602078739.92
_,_,_,0.0,-2460646108855.5728
_,_,_,0.0,881404265505.3931
_,_,_,49.3751459369,22520980633979.24
_,_,_,50.0000007451,32121088743522.496
_,_,_,50.0000007451,49696117099746.75
_,_,_,50.0000007451,-50173730276142.586
_,_,_,50.0000007451,27092745628574.965
_,_,_,50.0000007451,-19326425344755.363
_,_,_,50.0000007451,-31686942702346.477
_,_,_,50.0000007451,15565428955498.143
