Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,50.0000007451,-46625368173429.47
_,_,_,51.2423880255,-6887305314156.389
_,_,_,150.0000022352,-32863930548669.438
_,_,_,150.0000022352,-20587562696171.957
_,_,_,150.0000022352,-48510972438348.62
_,_,_,150.0000022352,-56035521888616.83
_,_,_,150.0000022352,5382646515732.323
_,_,_,150.0000022352,56370913826892.33
_,_,_,150.0000022352,24028196163668.52
_,_,_,150.0000022352,-10275113720795.992
_,_,_,149.378808598,2995940820579.1274
_,_,_,100.0000014901,27496252364231.754
_,_,_,100.0000014901,40879227038780.36
_,_,_,100.0000014901,66902709591822.84
_,_,_,100.0000014901,5921975258306.575
_,_,_,100.0000014901,14742278916773.924
_,_,_,100.0000014901,-48497905059329.42
_,_,_,100.0000014901,1095906873443.9349
_,_,_,100.0000014901,16717070241851.898
_,_,_,100.0000014901,-34223629085633.773
_,_,_,100.0000014901,22976113324450.03
_,_,_,100.0000014901,-35563972790264.33
_,_,_,100.0000014901,-62120904268145.08
_,_,_,149.3751474346,23926430476111.934
_,_,_,150.0000022352,-33545400882089.36
_,_,_,150.0000022352,13753184985535.703
_,_,_,150.0000022352,14210344382581.154
_,_,_,150.0000022352,-74641741352661.47
_,_,_,150.0000022352,34719568027326.97
_,_,_,150.0000022352,37741447049785.64
_,_,_,150.0000022352,-61003321280499.66
_,_,_,150.0000022352,67098546931238.766
_,_,_,150.0000022352,43172010400255.61
_,_,_,51.2497103554,1086288967770.4286
_,_,_,50.0000007451,-7133254145511.303
_,_,_,50.0000007451,85524488358577.02
_,_,_,50.0000007451,-45027111110673.875
_,_,_,50.0000007451,50075081916765.26
_,_,_,50.0000007451,25068015085947.395
_,_,_,50.0000007451,-37815432183011.984
_,_,_,50.0000007451,37211255388207.516
_,_,_,50.0000007451,-52296867049874.14
_,_,_,50.0000007451,-84357069871132.05
_,_,_,50.0000007451,-37956192899352.914
_,_,_,50.0000007451,18874202168383.79
_,_,_,50.0000007451,-18186032467439.215
_,_,_,50.0000007451,-26943197040402.465
_,_,_,99.3751466773,-15959334490435.477
_,_,_,100.0000014901,-7621918004633.889
_,_,_,100.0000014901,21183269191062.004
_,_,_,100.0000014901,-36701433466264.04
_,_,_,100.0000014901,11278025602022.125
_,_,_,100.0000014901,-11915400245242.256
_,_,_,100.0000014901,62830038977493.06
_,_,_,100.0000014901,-9877606907473.46
_,_,_,100.0000014901,32868574351987.617
_,_,_,100.0000014901,-3514471152026.7886
_,_,_,100.0000014901,-20809422840574.29
_,_,_,100.0000014901,1128259014814.7688
_,_,_,98.7576142035,49084977598022.73
_,_,_,0.0,-25360567452457.027
