Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,50.0000007451,880874454518.467
_,_,_,50.0000007451,577073371867.3105
_,_,_,50.0000007451,29479382891026.465
_,_,_,50.0000007451,7296400205946.072
_,_,_,50.0000007451,20849603981405.38
_,_,_,50.0000007451,9493944518554.102
_,_,_,50.0000007451,2467662099032.961
_,_,_,50.0000007451,-40543489352480.57
_,_,_,50.0000007451,-37272630823340.92
_,_,_,50.0000007451,-30498671200393.46
_,_,_,50.0000007451,30140786339964.72
_,_,_,50.0000007451,27957303727812.16
_,_,_,50.0000007451,45289488377920.336
_,_,_,99.3751466773,-2681201557516.609
_,_,_,100.0000014901,-14120910142169.803
_,_,_,100.0000014901,19283577504375.695
_,_,_,100.0000014901,73461067722852.67
_,_,_,100.0000014901,-17833818641739.137
_,_,_,100.0000014901,-9169269699504.852
_,_,_,100.0000014901,-7027123218181.75
_,_,_,100.0000014901,-25736043510206.684
_,_,_,100.0000014901,-7952795976264.286
_,_,_,100.0000014901,-14243663282772.402
_,_,_,100.0000014901,28076323658296.67
_,_,_,100.0000014901,-18839927964126.176
_,_,_,98.7576142035,-13566103865972.682
_,_,_,0.0,58443715316158.164
_,_,_,0.0,-1367117388177.507
_,_,_,49.3751459369,22547191017759.742
_,_,_,50.0000007451,44751663733555.0
_,_,_,50.0000007451,19331971200022.46
_,_,_,50.0000007451,9264550852758.24
_,_,_,50.0000007451,27789483281922.29
_,_,_,50.0000007451,-5489821353297.545
_,_,_,50.0000007451,-19356909388568.473
_,_,_,50.0000007451,-37789711381736.84
_,_,_,50.0000007451,-17666310858517.453
_,_,_,50.0000007451,14684871754909.416
_,_,_,50.0000007451,-5055897945204.561
_,_,_,50.0000007451,-1126060364177.8489
_,_,_,50.0000007451,-14484707913783.082
_,_,_,50.0000007451,36091256456786.445
_,_,_,50.0000007451,41050582023767.18
_,_,_,148.7502926096,60668114060029.36
_,_,_,150.0000022352,40092879829248.2
_,_,_,150.0000022352,5790503623244.962
_,_,_,150.0000022352,-1564775077463.0327
_,_,_,150.0000022352,46259377179610.85
_,_,_,150.0000022352,-35523148743002.69
_,_,_,150.0000022352,17498425438491.52
_,_,_,150.0000022352,-40081112062297.06
_,_,_,150.0000022352,25077426590364.98
_,_,_,150.0000022352,-20922255968870.312
_,_,_,100.6248563059,-1971793883854.847
_,_,_,100.0000014901,-12642826737524.477
_,_,_,100.0000014901,-13026073500135.04
_,_,_,100.0000014901,11973400781872.102
_,_,_,100.0000014901,-37936192006774.516
_,_,_,100.0000014901,24187049247820.86
_,_,_,100.0000014901,-13138435354303.604
_,_,_,100.0000014901,-17528563740746.775
_,_,_,100.0000014901,43451465048290.21
_,_,_,100.0000014901,-42848884029149.37
_,_,_,100.0000014901,-8566899786725.962
_,_,_,100.0000014901,-6190839461262.515
_,_,_,99.3788078438,50206415096259.89
_,_,_,50.0000007451,-15178491844651.17
_,_,_,50.0000007451,-57907805027600.555
_,_,_,50.0000007451,-37391050717569.12
_,_,_,50.0000007451,18027587414053.707
_,_,_,50.0000007451,17088799749740.352
_,_,_,50.0000007451,10499373144199.852
_,_,_,50.0000007451,2782774984041.2197
_,_,_,50.0000007451,9120990245503.33
_,_,_,50.0000007451,-5887564097111.484
_,_,_,50.0000007451,-35439815859629.66
_,_,_,50.0000007451,-18954473354891.027
_,_,_,50.0000007451,13050751128492.055
_,_,_,50.0000007451,13911099895923.877
_,_,_,51.2423880255,5135535812495.676
_,_,_,150.0000022352,-20327273728308.523
_,_,_,150.0000022352,-2449722742851.8096
_,_,_,150.0000022352,30448196743581.34
_,_,_,150.0000022352,2849682882122.4556
_,_,_,150.0000022352,17868892389340.402
_,_,_,150.0000022352,3324423286277.001
_,_,_,150.0000022352,948846372319.3253
_,_,_,150.0000022352,16431110573594.07
_,_,_,149.378808598,36825715687970.625
_,_,_,100.0000014901,56744942211923.875
_,_,_,100.0000014901,-15220275316604.766
_,_,_,100.0000014901,16763889846637.043
_,_,_,100.0000014901,-38278171045021.805
_,_,_,100.0000014901,21410638478815.617
_,_,_,100.0000014901,-12488450097667.564
_,_,_,100.0000014901,54725032892242.52
_,_,_,100.0000014901,36146156220081.27
_,_,_,100.0000014901,9631648832401.51
_,_,_,100.0000014901,12689535914430.098
_,_,_,100.0000014901,27765190528611.156
_,_,_,100.0000014901,1044611223200.4729
_,_,_,149.3751474346,-25907007228323.58
_,_,_,150.0000022352,41534499089347.5
_,_,_,150.0000022352,-19695384426505.965
_,_,_,150.0000022352,22163320462226.668
_,_,_,150.0000022352,16495978537620.791
_,_,_,150.0000022352,1715380453614.828
_,_,_,150.0000022352,3141065799829.473
_,_,_,150.0000022352,55457662578749.61
_,_,_,150.0000022352,-45150565240955.65
_,_,_,150.0000022352,-30330169139312.543
_,_,_,51.2497103554,-17206149376147.893
_,_,_,50.0000007451,3904634457512.534
_,_,_,50.0000007451,-40922903040400.33
_,_,_,50.0000007451,-17141856561524.684
_,_,_,50.0000007451,4128037442362.7188
_,_,_,50.0000007451,-35702904629628.66
_,_,_,50.0000007451,-23903697294353.09
_,_,_,50.0000007451,-42391432374358.13
_,_,_,50.0000007451,3426673018748.7476
_,_,_,50.0000007451,781863821557.376
_,_,_,50.0000007451,-25042690257297.766
_,_,_,50.0000007451,-42973292773156.27
_,_,_,50.0000007451,-21560015647720.766
_,_,_,50.0000007451,34168226435478.758
_,_,_,99.3751466773,39250006538399.914
_,_,_,100.0000014901,25185132068157.52
_,_,_,100.0000014901,-42155764254448.305
_,_,_,100.0000014901,49116636215734.54
_,_,_,100.0000014901,-6953345135216.593
_,_,_,100.0000014901,4795727931431.91
_,_,_,100.0000014901,-22700529905214.004
_,_,_,100.0000014901,11901105903646.357
_,_,_,100.0000014901,17896221483527.37
_,_,_,100.0000014901,-44929569016041.99
_,_,_,100.0000014901,-50310327862959.36
_,_,_,100.0000014901,-534358821364.38226
_,_,_,98.7576142035,-3343679080677.4116
_,_,_,0.0,42306896793948.164
_,_,_,0.0,23944578632421.223
_,_,_,49.3751459369,-42164611363554.695
_,_,_,50.0000007451,28170363716586.406
_,_,_,50.0000007451,-36693311259778.234
_,_,_,50.0000007451,-40895794709930.84
_,_,_,50.0000007451,30765305178540.055
_,_,_,50.0000007451,50901797427708.414
_,_,_,50.0000007451,-44147167769012.7
_,_,_,50.0000007451,30187256207504.42
_,_,_,50.0000007451,12894611967267.846
_,_,_,50.0000007451,30941175105060.938
_,_,_,50.0000007451,3060349370743.1006
_,_,_,50.0000007451,-22566751801303.773
_,_,_,50.0000007451,-36068326704176.69
_,_,_,50.0000007451,10331837635421.555
_,_,_,148.7502926096,8441207899497.419
_,_,_,150.0000022352,2051764764077.0044
_,_,_,150.0000022352,11333557556547.133
_,_,_,150.0000022352,9311126898035.361
_,_,_,150.0000022352,868477311282.8325
_,_,_,150.0000022352,-20410553955104.508
_,_,_,150.0000022352,30568754530455.02
_,_,_,150.0000022352,-18348495239449.062
_,_,_,150.0000022352,46029209031306.16
_,_,_,150.0000022352,-10917521246639.035
_,_,_,100.6248563059,-46400018601790.58
_,_,_,100.0000014901,-17496620680565.21
_,_,_,100.0000014901,-25767296223990.68
_,_,_,100.0000014901,-11739188207397.324
_,_,_,100.0000014901,11461443134631.902
_,_,_,100.0000014901,-17163692222350.443
_,_,_,100.0000014901,19617887596840.42
_,_,_,100.0000014901,-21462798453695.227
_,_,_,100.0000014901,13269024566693.87
_,_,_,100.0000014901,-55387662624019.336
_,_,_,100.0000014901,19712037696391.004
_,_,_,100.0000014901,4765505283093.403
_,_,_,99.3788078438,43435990959771.38
_,_,_,50.0000007451,27506750802529.64
_,_,_,50.0000007451,5727213270529.931
_,_,_,50.0000007451,2608295013390.575
_,_,_,50.0000007451,33755155782151.6
_,_,_,50.0000007451,-15399885728231.227
_,_,_,50.0000007451,-21745330226986.53
_,_,_,50.0000007451,-38171275418287.055
_,_,_,50.0000007451,-2088575428745.7292
_,_,_,50.0000007451,39618297869638.77
_,_,_,50.0000007451,17967963238544.71
_,_,_,50.0000007451,14081215575373.117
_,_,_,50.0000007451,33041984934811.02
_,_,_,50.0000007451,-9160608977562.99
_,_,_,50.0000007451,19997240204460.37
_,_,_,51.2423880255,-16068937484863.883
_,_,_,150.0000022352,11959837983850.906
_,_,_,150.0000022352,-16941257903779.043
_,_,_,150.0000022352,-12144785235397.938
_,_,_,150.0000022352,39256332098853.34
_,_,_,150.0000022352,29120568005872.652
_,_,_,150.0000022352,21018351955883.453
_,_,_,150.0000022352,19003601933876.8
_,_,_,150.0000022352,5877249400467.122
_,_,_,150.0000022352,9039231823451.375
_,_,_,149.378808598,49519357487119.07
_,_,_,100.0000014901,28392925060778.953
_,_,_,100.0000014901,58966875387253.45
_,_,_,100.0000014901,31917402896182.23
_,_,_,100.0000014901,-38144258234019.72
_,_,_,100.0000014901,33837649628144.32
_,_,_,100.0000014901,-27430897268348.637
_,_,_,100.0000014901,101442219899.61436
